Program,Course Code,Course Title,Description
BA Political Science,PSM 1,Fundamentals of Political Science,"This course is an introduction to the basic concepts, theories, and principles of political science; types of political systems; and the development of political institutions and processes."
BA Political Science,PSM 2,Introduction to Philippine Politics and Governance,"This course focuses on the Philippine politics, governance, and constitution, and a thorough analysis of the articles of the fundamental law of the land."
BA Political Science,PSM 3,Philippine Public Administration,"Principles, practices, and problems of public administration in the Philippines; historical, behavioral, and institutional analysis."
BA Political Science,PSM 4,Introduction to Comparative Politics and Governance,Comparative political processes in developed and developing states.
BA Political Science,PSM 5,Introduction to Political Theory,"Classical, modern, and contemporary thinkers; the state, justice, rights, democracy, and political ideology."
BA Political Science,PSE 1,"Political Parties, Movements and Interest Groups",Types and structures of political parties and interest groups; their functions in the political system.
